
Cores Qtd: 4	Tamanho do Problema: 1024000000

	Tempo: 2.95e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 3072000000 	Numero de Bins: 431 	Intervalo: 0.46 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 2.97e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 3072000000 	Numero de Bins: 713 	Intervalo: 0.28 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 2.98e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 3072000000 	Numero de Bins: 685 	Intervalo: 0.29 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 2.95e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 3072000000 	Numero de Bins: 430 	Intervalo: 0.47 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 2.98e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 3072000000 	Numero de Bins: 704 	Intervalo: 0.28 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 2.97e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 3072000000 	Numero de Bins: 869 	Intervalo: 0.23 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 2.96e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 3072000000 	Numero de Bins: 794 	Intervalo: 0.25 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 2.99e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 3072000000 	Numero de Bins: 591 	Intervalo: 0.34 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72

Cores Qtd: 16	Tamanho do Problema: 4096000000

	Tempo: 3.94e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 410 	Intervalo: 0.49 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 3.95e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 889 	Intervalo: 0.22 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 3.94e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 537 	Intervalo: 0.37 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 3.96e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 270 	Intervalo: 0.74 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 3.95e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 392 	Intervalo: 0.51 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 3.96e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 871 	Intervalo: 0.23 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 3.96e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 732 	Intervalo: 0.27 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 3.95e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 86 	Intervalo: 2.33 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 3.94e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 654 	Intervalo: 0.31 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 3.94e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 297 	Intervalo: 0.67 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72

Cores Qtd: 32	Tamanho do Problema: 1024000000

	Tempo: 4.98e+00 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 559 	Intervalo: 0.36 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 4.95e+00 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 829 	Intervalo: 0.24 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
